name,bumn,role,political_status,political_affiliation,evidence,sources
Ossy Dermawan,Telkom,Komisaris,kader_partai,Partai Demokrat (Wasekjen DPP),Wakil Sekretaris Jenderal DPP Partai Demokrat. Wamen ATR/BPN di Kabinet Prabowo. Staf pribadi SBY 2014-2018. Diangkat Telkom commissioner May 2025.,"beritasatu.com, wikipedia.org, cnbcindonesia.com"
Ismail,Telkom,Komisaris,pejabat,None (Sekjen Komdigi),Sekjen Kementerian Komunikasi dan Digital. Career civil servant since 1993. ITB graduate. No party affiliation.,antaranews.com
Rionald Silaban,Telkom,Komisaris,pejabat,None (Dirjen DJKN),Dirjen Kekayaan Negara Kemenkeu. No party affiliation or TKN role found.,"tempo.co, bisnis.com"
Yohanes Surya,Telkom,Komisaris Independen,profesional,None,"Renowned physicist, physics olympiad coach. No party links. Resigned Nov 2025.",tempo.co
Deswandhy Agusman,Telkom,Komisaris Independen,profesional,Chairman Yayasan Prabowo Subianto Djojohadikusumo (since 2022),Career finance professional. Chairman of Yayasan Prabowo Subianto — significant political link despite no formal party membership.,telkom.co.id
Bambang Suswantono,Pertamina,Komisaris,pejabat,None (TNI Mar Purn),"Letjen TNI Mar (Purn). Former Danpaspampres, Irjen TNI, Irjen Kemenhan/ESDM. No party affiliation found.","tribunnews.com, cnnindonesia.com"
Condro Kirono,Pertamina,Komisaris Independen,relawan_pemenangan,TKN Prabowo-Gibran (Wakil Ketua),Wakil Ketua TKN Prabowo-Gibran Pilpres 2024. Komjen Pol Purn. Appointed Pertamina commissioner June 2024.,"fortuneidn.com, cnbcindonesia.com, tempo.co"
Sondaryani,Pertamina,Komisaris Independen,profesional,None found,Oil industry professional. Former Ketua Ikatan Alumni Perminyakan Trisakti. No direct political evidence.,tempo.co
Iggi H. Achsien,Pertamina,Komisaris Independen,profesional,None found,Finance/banking professional. MBA ITB. No party links found.,linkedin.com
Alexander Lay,Pertamina,Komisaris Independen,relawan_pemenangan,Relawan Jokowi 2019 (not Prabowo),One of 10 lawyers who defended Jokowi in 2019 pilpres court case. Former Stafsus Mensesneg. Appointed Pertamina commissioner 2017.,"tribunnews.com, cnnindonesia.com"
Burhanuddin Abdullah,PLN,President Commissioner,kader_partai,Partai Gerindra + TKN Prabowo-Gibran (Ketua Dewan Pakar),Ketua Dewan Pakar TKN Prabowo-Gibran. Ketua Dewan Pakar Partai Gerindra. Former Gubernur BI. Appointed PLN Komut July 2024.,"fortuneidn.com, tempo.co, kompas.com"
